gauge_id,KGE
camels_01013500,[0.37835698]
camels_01022500,[0.71218229]
camels_01030500,[0.54887487]
camels_01031500,[0.75495636]
camels_01047000,[0.87013439]
camels_01052500,[0.68104659]
camels_01054200,[0.65776243]
camels_01055000,[0.76933985]
camels_01057000,[0.8803728]
camels_01073000,[0.40924661]
camels_01078000,[0.80213974]
camels_01118300,[0.54505389]
camels_01121000,[0.48191152]
camels_01123000,[0.81322966]
camels_01134500,[0.71212047]
camels_01137500,[0.82548719]
camels_01139000,[0.90426401]
camels_01139800,[0.77484531]
camels_01142500,[0.81102184]
camels_01144000,[0.80404733]
camels_01162500,[0.77502276]
camels_01169000,[0.79119336]
camels_01170100,[0.85459145]
camels_01181000,[0.78722545]
camels_01187300,[0.67857668]
camels_01195100,[0.67828729]
camels_01333000,[0.7424289]
camels_01350000,[0.6901461]
camels_01350080,[0.75092458]
camels_01350140,[0.66823867]
camels_01365000,[0.70050198]
camels_01411300,[0.52321472]
camels_01413500,[0.86275332]
camels_01414500,[0.76119213]
camels_01415000,[0.81060084]
camels_01423000,[0.83923175]
camels_01434025,[0.69512051]
camels_01435000,[0.77923933]
camels_01439500,[0.74318142]
camels_01440000,[0.62000655]
camels_01440400,[0.76355777]
camels_01451800,[0.73839159]
camels_01466500,[-0.8362902]
camels_01484100,[0.47316128]
camels_01485500,[0.33977172]
camels_01486000,[0.64729885]
camels_01487000,[0.75826973]
camels_01491000,[0.44943004]
camels_01510000,[0.74132119]
camels_01516500,[0.67032989]
camels_01518862,[0.6953927]
camels_01532000,[0.68257916]
camels_01539000,[0.80556696]
camels_01542810,[0.68202509]
camels_01543000,[0.80680713]
camels_01543500,[0.84467279]
camels_01544500,[0.75905798]
camels_01545600,[0.84408799]
camels_01547700,[0.76506087]
camels_01548500,[0.88380159]
camels_01549500,[0.61445172]
camels_01550000,[0.78568383]
camels_01552000,[0.87486738]
camels_01552500,[0.74124363]
camels_01557500,[0.77053499]
camels_01567500,[0.68021036]
camels_01568000,[0.58784331]
camels_01580000,[0.77724858]
camels_01583500,[0.56664992]
camels_01586610,[0.65386882]
camels_01591400,[0.50830118]
camels_01594950,[0.76046535]
camels_01596500,[0.66129939]
camels_01605500,[0.54302592]
camels_01606500,[0.58775752]
camels_01613050,[0.65508894]
camels_01620500,[0.31291957]
camels_01632000,[0.63632]
camels_01632900,[0.75626099]
camels_01634500,[0.59813539]
camels_01638480,[0.53741272]
camels_01639500,[0.58000402]
