gauge_id,KGE
camels_01013500,[0.29918636]
camels_01022500,[0.21517674]
camels_01030500,[-0.24017521]
camels_01031500,[0.85339594]
camels_01047000,[0.92512091]
camels_01052500,[0.75968803]
camels_01054200,[0.57943281]
camels_01055000,[0.8846578]
camels_01057000,[0.90573252]
camels_01073000,[-1.54836335]
camels_01078000,[0.88895589]
camels_01118300,[0.25162731]
camels_01121000,[0.80495269]
camels_01123000,[0.8391768]
camels_01134500,[0.8540518]
camels_01137500,[0.79404891]
camels_01139000,[0.88593635]
camels_01139800,[0.76104757]
camels_01142500,[0.80206442]
camels_01144000,[0.77200821]
camels_01162500,[0.87424376]
camels_01169000,[0.75896904]
camels_01170100,[0.90969693]
camels_01181000,[0.82985499]
camels_01187300,[0.73920949]
camels_01195100,[0.62893804]
camels_01333000,[-0.77819314]
camels_01350000,[0.73587506]
camels_01350080,[0.76444996]
camels_01350140,[0.80289375]
camels_01365000,[0.66876037]
camels_01411300,[0.61574823]
camels_01413500,[0.84567194]
camels_01414500,[0.77960595]
camels_01415000,[0.83621582]
camels_01423000,[0.83961165]
camels_01434025,[0.67505822]
camels_01435000,[0.76266005]
camels_01439500,[0.77659906]
camels_01440000,[0.65316189]
camels_01440400,[0.69926081]
camels_01451800,[0.34134479]
camels_01466500,[-0.43050875]
camels_01484100,[0.60145626]
camels_01485500,[0.46594393]
camels_01486000,[0.60558143]
camels_01487000,[0.80258553]
camels_01491000,[0.40016271]
camels_01510000,[0.52214579]
camels_01516500,[0.73278873]
camels_01518862,[0.77114353]
camels_01532000,[0.76866008]
camels_01539000,[0.7290164]
camels_01542810,[0.69891701]
camels_01543000,[0.82089592]
camels_01543500,[0.8164803]
camels_01544500,[0.80392229]
camels_01545600,[0.83431755]
camels_01547700,[0.64912269]
camels_01548500,[0.91297602]
camels_01549500,[0.73584963]
camels_01550000,[0.73267241]
camels_01552000,[0.84195822]
camels_01552500,[0.70597271]
camels_01557500,[0.70415375]
camels_01567500,[0.74785727]
camels_01568000,[0.59230772]
camels_01580000,[0.72529716]
camels_01583500,[0.61643698]
camels_01586610,[0.5063732]
camels_01591400,[0.20076567]
camels_01594950,[0.67691277]
camels_01596500,[0.63803617]
camels_01605500,[0.67962065]
camels_01606500,[0.64371695]
camels_01613050,[0.66054098]
camels_01620500,[0.25173598]
camels_01632000,[0.58736121]
camels_01632900,[0.72311768]
camels_01634500,[0.60294551]
camels_01638480,[0.50970763]
camels_01639500,[0.74282828]
camels_01644000,[0.40224357]
camels_01658500,[0.62953102]
camels_01664000,[0.55688065]
camels_01666500,[0.68473579]
camels_01667500,[0.58029401]
camels_01669000,[0.5280374]
camels_01669520,[0.33193467]
camels_02011400,[0.09277428]
camels_02011460,[-0.51709833]
camels_02013000,[0.44332201]
camels_02014000,[0.77665471]
camels_02015700,[0.53814277]
camels_02016000,[0.77643468]
camels_02017500,[0.59717732]
camels_02018000,[0.73409322]
camels_02027000,[0.71408881]
camels_02027500,[0.61350877]
camels_02028500,[0.35692996]
camels_02038850,[0.76106211]
camels_02046000,[0.4945743]
camels_02051000,[0.67648358]
camels_02051500,[0.67313751]
camels_02053200,[-0.00971775]
camels_02053800,[0.73978877]
camels_02055100,[0.60312635]
camels_02056900,[0.57111848]
camels_02059500,[0.26410362]
camels_02064000,[-0.38207332]
camels_02065500,[0.75477367]
camels_02069700,[0.72618427]
camels_02070000,[0.72644832]
camels_02074500,[0.50677539]
camels_02077200,[0.45505075]
camels_02081500,[0.64902304]
camels_02082950,[0.09422776]
camels_02092500,[0.32303387]
camels_02096846,[0.5539968]
camels_02102908,[0.38995898]
camels_02108000,[0.30669957]
camels_02111180,[0.66814206]
camels_02111500,[0.86031576]
camels_02112120,[0.77933929]
camels_02112360,[0.81810439]
camels_02118500,[0.6798531]
camels_02125000,[0.5265354]
camels_02128000,[0.51115788]
camels_02137727,[0.74017039]
camels_02140991,[0.56887903]
camels_02143000,[0.71147576]
camels_02143040,[0.48493578]
camels_02149000,[0.77210197]
camels_02152100,[0.71989347]
camels_02177000,[0.72084472]
camels_02178400,[0.79995798]
camels_02193340,[0.44544454]
camels_02196000,[-0.02593936]
camels_02198100,[0.3312551]
camels_02202600,[0.25929222]
camels_02212600,[0.58114934]
camels_02215100,[0.51201869]
camels_02216180,[0.40156516]
camels_02221525,[0.82412223]
camels_02231000,[-2.30829864]
camels_02231342,[0.56411272]
camels_02235200,[-0.27137828]
camels_02245500,[0.23811023]
camels_02246000,[0.10179535]
camels_02296500,[0.57905554]
camels_02297155,[0.10394704]
camels_02297310,[0.55526352]
camels_02298123,[0.61955498]
camels_02298608,[0.53922437]
camels_02299950,[0.54041689]
camels_02300700,[0.05653783]
camels_02310947,[0.16058967]
camels_02312200,[0.53096601]
camels_02314500,[-0.37625699]
camels_02315500,[0.65251698]
camels_02324400,[0.32655121]
camels_02327100,[0.02618085]
camels_02342933,[0.39584221]
camels_02349900,[0.44460281]
