gauge_id,KGE
camels_01013500,[-0.2946605]
camels_01022500,[0.41961625]
camels_01030500,[-0.0597626]
camels_01031500,[0.78806649]
camels_01047000,[0.89799523]
camels_01052500,[0.72564793]
camels_01054200,[0.62260782]
camels_01055000,[0.81810887]
camels_01057000,[0.86000112]
camels_01073000,[-0.27688067]
camels_01078000,[0.81593935]
camels_01118300,[0.47068285]
camels_01121000,[0.73560076]
camels_01123000,[0.76396063]
camels_01134500,[0.78707103]
camels_01137500,[0.81753839]
camels_01139000,[0.91245995]
camels_01139800,[0.64520034]
camels_01142500,[0.83164701]
camels_01144000,[0.6578276]
camels_01162500,[0.82043172]
camels_01169000,[0.77049832]
camels_01170100,[0.42617092]
camels_01181000,[0.82229542]
camels_01187300,[0.70399476]
camels_01195100,[0.59479162]
camels_01333000,[0.35721471]
camels_01350000,[0.66875724]
camels_01350080,[0.77277732]
camels_01350140,[0.74853632]
camels_01365000,[0.69239156]
camels_01411300,[0.71850186]
camels_01413500,[0.8340254]
camels_01414500,[0.73712701]
camels_01415000,[0.84643471]
camels_01423000,[0.8284083]
camels_01434025,[0.6677134]
camels_01435000,[0.71879202]
camels_01439500,[0.70651649]
camels_01440000,[0.61104997]
camels_01440400,[0.75361814]
camels_01451800,[0.69536086]
camels_01466500,[-0.8433586]
camels_01484100,[0.67954752]
camels_01485500,[0.43154293]
camels_01486000,[0.59748603]
camels_01487000,[0.65272774]
camels_01491000,[0.43069766]
camels_01510000,[0.72246446]
camels_01516500,[0.65749954]
camels_01518862,[0.74810685]
camels_01532000,[0.62538717]
camels_01539000,[0.80640918]
camels_01542810,[0.67477074]
camels_01543000,[0.80651849]
camels_01543500,[0.85223472]
camels_01544500,[0.75660371]
camels_01545600,[0.83603881]
camels_01547700,[0.77790066]
camels_01548500,[0.90496223]
camels_01549500,[0.76521213]
camels_01550000,[0.79824336]
camels_01552000,[0.86627243]
camels_01552500,[0.74969713]
camels_01557500,[0.77429023]
camels_01567500,[0.69657914]
camels_01568000,[0.61049719]
camels_01580000,[0.75096871]
camels_01583500,[0.54906297]
camels_01586610,[0.64300203]
camels_01591400,[0.4064445]
camels_01594950,[0.76138649]
camels_01596500,[0.65179722]
camels_01605500,[0.57777521]
camels_01606500,[0.64485247]
camels_01613050,[0.62647339]
camels_01620500,[0.2687188]
camels_01632000,[0.59747286]
camels_01632900,[0.6176224]
camels_01634500,[0.58445142]
camels_01638480,[0.53049818]
camels_01639500,[0.55678942]
camels_01644000,[0.73810793]
camels_01658500,[0.57334701]
camels_01664000,[0.49530616]
camels_01666500,[0.70428095]
camels_01667500,[0.69896734]
camels_01669000,[0.58601818]
camels_01669520,[0.30859636]
camels_02011400,[0.55022618]
camels_02011460,[0.34713376]
camels_02013000,[0.3124915]
camels_02014000,[0.81106482]
camels_02015700,[0.62373331]
camels_02016000,[0.72295271]
camels_02017500,[0.67589188]
camels_02018000,[0.68319919]
camels_02027000,[0.71865522]
camels_02027500,[0.51663344]
camels_02028500,[0.54927342]
camels_02038850,[0.67607768]
camels_02046000,[0.58468661]
camels_02051000,[0.62817672]
camels_02051500,[0.71259806]
camels_02053200,[0.15922232]
camels_02053800,[0.22006543]
camels_02055100,[0.57822429]
camels_02056900,[0.734025]
camels_02059500,[0.66117991]
camels_02064000,[0.74662733]
camels_02065500,[0.81150789]
camels_02069700,[0.73850249]
camels_02070000,[0.76300296]
camels_02074500,[0.67216794]
camels_02077200,[0.45633456]
camels_02081500,[0.63853646]
camels_02082950,[0.55687284]
camels_02092500,[0.25967541]
camels_02096846,[0.38010035]
camels_02102908,[0.02815332]
camels_02108000,[-0.09373689]
camels_02111180,[0.659079]
camels_02111500,[0.80939457]
camels_02112120,[0.73246809]
camels_02112360,[0.74360109]
camels_02118500,[0.6874166]
camels_02125000,[0.45563008]
camels_02128000,[0.55244833]
camels_02137727,[0.68213219]
camels_02140991,[0.589638]
camels_02143000,[0.63094073]
camels_02143040,[0.46786967]
camels_02149000,[0.73935363]
camels_02152100,[0.69208406]
camels_02177000,[-0.91481627]
camels_02178400,[0.82830559]
camels_02193340,[0.50191988]
camels_02196000,[0.05128245]
camels_02198100,[0.47854673]
camels_02202600,[0.10590907]
camels_02212600,[0.16760146]
camels_02215100,[0.58513827]
camels_02216180,[0.49546645]
camels_02221525,[0.75814349]
camels_02231000,[0.0549465]
camels_02231342,[0.56095279]
camels_02235200,[-0.24073735]
camels_02245500,[0.23085343]
camels_02246000,[0.06901753]
camels_02296500,[0.24790144]
camels_02297155,[0.16096904]
camels_02297310,[0.60735611]
camels_02298123,[0.30355792]
camels_02298608,[0.52691666]
camels_02299950,[0.51102992]
camels_02300700,[0.06258263]
camels_02310947,[0.19474692]
camels_02312200,[0.14057265]
camels_02314500,[0.38021272]
camels_02315500,[0.52447807]
camels_02324400,[0.42457182]
camels_02327100,[0.06618664]
camels_02342933,[0.48963898]
camels_02349900,[0.54864905]
camels_02350900,[0.57179315]
camels_02361000,[0.51695885]
camels_02363000,[0.3954632]
camels_02369800,[0.37840729]
camels_02371500,[0.41628072]
camels_02372250,[0.34539638]
camels_02374500,[0.72808288]
camels_02381600,[0.36486423]
camels_02384540,[0.45738165]
camels_02395120,[0.37884205]
camels_02408540,[0.5443436]
camels_02415000,[0.34798181]
camels_02422500,[0.61073441]
camels_02427250,[0.47951614]
camels_02430085,[0.72728708]
camels_02430615,[0.76286892]
camels_02450250,[0.495053]
camels_02464000,[0.56831244]
camels_02464146,[0.60382596]
camels_02464360,[0.75600041]
camels_02465493,[0.61681022]
camels_02469800,[0.16832916]
camels_02472000,[0.32622894]
camels_02472500,[0.49796752]
camels_02479155,[0.39410409]
camels_02479300,[0.54981284]
camels_02479560,[0.23340237]
camels_02481000,[0.44737547]
camels_02481510,[0.53194559]
camels_03010655,[0.77610311]
camels_03011800,[0.81864049]
camels_03015500,[0.71919044]
camels_03021350,[0.66875166]
camels_03026500,[0.71920413]
camels_03028000,[0.74142536]
camels_03049000,[0.49085154]
camels_03049800,[0.13425745]
camels_03050000,[0.55192958]
camels_03066000,[0.5235107]
camels_03069500,[0.65495983]
camels_03070500,[0.57848577]
camels_03076600,[0.74535605]
camels_03078000,[0.74722888]
camels_03140000,[0.60898886]
camels_03144000,[0.65339447]
camels_03159540,[0.59331598]
camels_03161000,[0.72491654]
camels_03164000,[0.63208371]
camels_03165000,[0.6194917]
camels_03170000,[0.47447733]
camels_03173000,[0.6801623]
camels_03180500,[0.69365247]
camels_03182500,[0.45779783]
camels_03186500,[0.63659334]
camels_03187500,[0.61234315]
camels_03213700,[0.56440963]
camels_03237280,[0.60897734]
camels_03237500,[0.49184432]
camels_03238500,[0.59521758]
camels_03241500,[0.69114474]
camels_03280700,[0.59191052]
camels_03281100,[0.60102956]
camels_03281500,[0.60549789]
camels_03285000,[0.56251512]
camels_03291780,[0.62680894]
camels_03300400,[0.51838988]
camels_03338780,[0.40199134]
camels_03340800,[0.57402616]
camels_03346000,[0.11851192]
camels_03357350,[0.5741668]
camels_03364500,[0.66674626]
camels_03366500,[0.56902315]
camels_03368000,[0.64079677]
camels_03384450,[0.35091511]
camels_03439000,[0.56167429]
camels_03450000,[0.41863104]
camels_03455500,[0.47790659]
camels_03456500,[0.59032246]
camels_03460000,[0.45724873]
camels_03463300,[0.40259461]
camels_03471500,[0.68835921]
camels_03473000,[0.75574704]
camels_03479000,[0.39947587]
camels_03488000,[0.73020561]
camels_03498500,[0.4796951]
camels_03500000,[0.76133169]
camels_03500240,[0.59440702]
camels_03504000,[0.6353049]
camels_03574500,[0.57026187]
camels_03592718,[0.65261381]
camels_03604000,[0.36182191]
camels_04015330,[0.31676167]
camels_04024430,[0.53473202]
camels_04027000,[0.23827626]
camels_04040500,[0.44741319]
camels_04043050,[0.23442554]
camels_04045500,[-3.70018659]
camels_04056500,[0.80309421]
camels_04057510,[0.55907853]
camels_04057800,[-0.01327199]
camels_04059500,[0.47566494]
camels_04063700,[0.64468464]
camels_04074950,[0.81960161]
camels_04105700,[-0.40959959]
camels_04115265,[0.22040673]
camels_04122200,[0.77820537]
camels_04122500,[0.82578118]
camels_04124000,[0.79466269]
camels_04127918,[0.47005187]
camels_04127997,[0.2401468]
