gauge_id,KGE
camels_01013500,[0.58000888]
camels_01022500,[-0.07341561]
camels_01030500,[-0.27684479]
camels_01031500,[0.8330708]
camels_01047000,[0.90801186]
camels_01052500,[0.74362744]
camels_01054200,[0.55780487]
camels_01055000,[0.87509257]
camels_01057000,[0.91974183]
camels_01073000,[-0.72279561]
camels_01078000,[0.89152812]
camels_01118300,[0.59665487]
camels_01121000,[0.83770545]
camels_01123000,[0.41508614]
camels_01134500,[0.85612872]
camels_01137500,[0.76173574]
camels_01139000,[0.60055154]
camels_01139800,[0.74273799]
camels_01142500,[0.80841016]
camels_01144000,[0.77441201]
camels_01162500,[0.87534969]
camels_01169000,[0.74969486]
camels_01170100,[0.90185458]
camels_01181000,[0.82096981]
camels_01187300,[0.71588503]
camels_01195100,[0.69712473]
camels_01333000,[0.32277487]
camels_01350000,[0.73334837]
camels_01350080,[0.81806553]
camels_01350140,[0.79838028]
camels_01365000,[0.51684768]
camels_01411300,[0.63649705]
camels_01413500,[0.88606482]
camels_01414500,[0.70018958]
camels_01415000,[0.71844784]
camels_01423000,[0.77819121]
camels_01434025,[0.74285143]
camels_01435000,[0.7555056]
camels_01439500,[0.76865123]
camels_01440000,[0.55446369]
camels_01440400,[0.62508297]
camels_01451800,[0.35166019]
camels_01466500,[-1.13541999]
camels_01484100,[0.69176954]
camels_01485500,[0.48504928]
camels_01486000,[0.62070865]
camels_01487000,[0.80238071]
camels_01491000,[0.41653809]
camels_01510000,[0.72509874]
camels_01516500,[0.71525662]
camels_01518862,[0.74515609]
camels_01532000,[0.72547173]
camels_01539000,[0.75021934]
camels_01542810,[0.68692802]
camels_01543000,[0.84048458]
camels_01543500,[0.83926215]
camels_01544500,[0.68434469]
camels_01545600,[0.75841897]
camels_01547700,[0.65363022]
camels_01548500,[0.90460023]
camels_01549500,[0.70804406]
camels_01550000,[0.71276842]
camels_01552000,[0.84573166]
camels_01552500,[0.72940577]
camels_01557500,[0.78086678]
camels_01567500,[0.75517106]
camels_01568000,[0.67519868]
camels_01580000,[0.67946588]
camels_01583500,[0.52508079]
camels_01586610,[0.50447028]
camels_01591400,[0.34743235]
camels_01594950,[0.65919528]
camels_01596500,[0.6331581]
camels_01605500,[0.59592886]
camels_01606500,[0.60906987]
camels_01613050,[0.74317427]
camels_01620500,[0.30252272]
camels_01632000,[0.57539707]
camels_01632900,[0.70515299]
camels_01634500,[0.61955252]
camels_01638480,[0.46889397]
camels_01639500,[0.74177841]
camels_01644000,[0.396571]
camels_01658500,[0.64263499]
camels_01664000,[0.56114218]
camels_01666500,[0.66599355]
camels_01667500,[0.67110789]
camels_01669000,[0.46731881]
camels_01669520,[0.358935]
camels_02011400,[0.52143794]
camels_02011460,[-3.91398931]
camels_02013000,[0.43284165]
camels_02014000,[0.77815143]
camels_02015700,[0.56083021]
camels_02016000,[0.71753757]
camels_02017500,[0.58200546]
camels_02018000,[0.74276629]
camels_02027000,[0.78660855]
camels_02027500,[0.58344238]
camels_02028500,[0.70322408]
camels_02038850,[0.78656698]
camels_02046000,[0.51646973]
camels_02051000,[0.63819115]
camels_02051500,[0.25058331]
camels_02053200,[-0.51398403]
camels_02053800,[0.44567813]
camels_02055100,[0.52406595]
camels_02056900,[0.46137683]
camels_02059500,[0.14655888]
camels_02064000,[0.59058564]
camels_02065500,[0.77007573]
camels_02069700,[0.73073561]
camels_02070000,[0.78382018]
camels_02074500,[0.51018234]
camels_02077200,[0.36678631]
camels_02081500,[0.65189561]
camels_02082950,[-0.13466412]
camels_02092500,[0.2538498]
camels_02096846,[0.51370193]
camels_02102908,[0.23702246]
camels_02108000,[0.14862941]
camels_02111180,[0.64799066]
camels_02111500,[0.83448346]
camels_02112120,[0.78313397]
camels_02112360,[0.81810559]
camels_02118500,[0.60950684]
camels_02125000,[0.39591042]
camels_02128000,[0.46743755]
camels_02137727,[0.62465574]
camels_02140991,[0.59837651]
camels_02143000,[0.66842018]
camels_02143040,[0.52634614]
camels_02149000,[0.78349861]
camels_02152100,[0.70108759]
camels_02177000,[0.72268417]
camels_02178400,[0.82923768]
camels_02193340,[0.34154516]
camels_02196000,[-0.14179823]
camels_02198100,[0.20271977]
camels_02202600,[0.26114448]
camels_02212600,[0.59217396]
camels_02215100,[0.54080891]
camels_02216180,[0.42908012]
camels_02221525,[0.77002315]
camels_02231000,[-2.06779431]
camels_02231342,[0.52100082]
camels_02235200,[-0.17165461]
camels_02245500,[0.36105897]
camels_02246000,[0.10648492]
camels_02296500,[0.56393125]
camels_02297155,[0.13136847]
camels_02297310,[0.50376236]
camels_02298123,[0.59014381]
camels_02298608,[0.61201283]
camels_02299950,[0.40470954]
camels_02300700,[-0.06772411]
camels_02310947,[-0.15792959]
camels_02312200,[0.35719255]
camels_02314500,[-0.36502351]
camels_02315500,[0.53776249]
camels_02324400,[0.41907342]
camels_02327100,[-0.03399338]
camels_02342933,[0.31059929]
camels_02349900,[0.41775826]
camels_02350900,[0.63166781]
camels_02361000,[0.2528819]
camels_02363000,[0.5281477]
camels_02369800,[0.50099507]
camels_02371500,[0.60596303]
camels_02372250,[0.43446522]
camels_02374500,[0.52760252]
camels_02381600,[0.58447428]
camels_02384540,[0.45072094]
camels_02395120,[0.55765217]
camels_02408540,[0.43205666]
camels_02415000,[0.52535262]
camels_02422500,[0.56397968]
camels_02427250,[0.44422353]
camels_02430085,[0.73229422]
camels_02430615,[0.26642679]
camels_02450250,[0.36822809]
camels_02464000,[0.48644611]
camels_02464146,[0.68994612]
camels_02464360,[0.73142856]
camels_02465493,[0.56467094]
camels_02469800,[0.47391603]
camels_02472000,[-1.19395039]
camels_02472500,[0.53249331]
camels_02479155,[0.32520968]
camels_02479300,[0.68074033]
camels_02479560,[0.40681673]
camels_02481000,[0.52737751]
camels_02481510,[0.55280303]
camels_03010655,[0.76456496]
camels_03011800,[0.78296145]
camels_03015500,[0.78058241]
camels_03021350,[0.65993422]
camels_03026500,[0.68271129]
camels_03028000,[0.7299193]
camels_03049000,[-3.81272104]
camels_03049800,[-1.57813329]
camels_03050000,[0.12780249]
camels_03066000,[0.41377046]
camels_03069500,[0.52587567]
camels_03070500,[0.4589055]
camels_03076600,[0.76506285]
camels_03078000,[0.75147352]
camels_03140000,[0.61307178]
camels_03144000,[0.66106651]
camels_03159540,[0.54467397]
camels_03161000,[0.69518846]
camels_03164000,[-1.17619336]
camels_03165000,[0.61668509]
camels_03170000,[0.43671103]
camels_03173000,[0.62668402]
camels_03180500,[0.65716082]
camels_03182500,[-1.5784835]
camels_03186500,[0.22115658]
camels_03187500,[0.57359882]
camels_03213700,[0.68635297]
camels_03237280,[0.59331174]
camels_03237500,[0.5567485]
camels_03238500,[0.2703979]
camels_03241500,[0.67231837]
camels_03280700,[0.65485448]
camels_03281100,[0.56781206]
camels_03281500,[0.64173878]
camels_03285000,[0.37467924]
camels_03291780,[0.6501371]
camels_03300400,[0.59174304]
camels_03338780,[0.37324533]
camels_03340800,[0.58675249]
camels_03346000,[-1.11956129]
camels_03357350,[0.51071903]
camels_03364500,[0.44584075]
camels_03366500,[0.60256479]
camels_03368000,[0.65990875]
camels_03384450,[0.12736965]
camels_03439000,[0.60123033]
camels_03450000,[0.6052144]
camels_03455500,[0.4834682]
camels_03456500,[0.67351642]
camels_03460000,[0.48574209]
camels_03463300,[0.46401198]
camels_03471500,[0.72128172]
camels_03473000,[0.72239638]
camels_03479000,[0.22993153]
camels_03488000,[0.70261112]
camels_03498500,[0.50553149]
camels_03500000,[0.72509966]
camels_03500240,[0.6192759]
camels_03504000,[0.62581935]
camels_03574500,[0.61717646]
camels_03592718,[0.70567612]
camels_03604000,[0.30574262]
camels_04015330,[0.57129198]
camels_04024430,[0.69687147]
camels_04027000,[0.55697824]
camels_04040500,[-0.25529618]
camels_04043050,[0.32643086]
camels_04045500,[-1.59159118]
camels_04056500,[0.60953778]
camels_04057510,[0.49151107]
