gauge_id,KGE_similarity3,KGE_similarity5,KGE_similarity7,KGE_similarity10,KGE_similarity15,KGE_similarity20,KGE_similarity25,KGE_similarity30,KGE_similarity40,KGE_similarity50,KGE_similarity75,KGE_similarity100,KGE_similarity150,KGE_similarity200,KGE_similarity250,KGE_similarity300,KGE_similarity350,KGE_similarity400,KGE_similarity450,KGE_similarity500,KGE_similarity550,KGE_similarity600,gauge_lon,gauge_lat,max_KGE
camels_12381400,0.43009649,0.48577325,0.56911101,0.56409485,0.54720217,0.50113833,0.54763845,0.5275859,0.54458149,0.54612403,0.47674756,0.64592166,0.78713784,0.54132895,0.43240876,0.53908428,0.51323755,0.52344973,0.59501128,0.56573409,0.49079647,0.48371444,-113.85065,47.19549,47.19549
camels_12383500,-0.11363469,0.35725592,0.69208133,-0.71396286,0.41082887,0.4989271,0.36559524,0.50128239,0.46474135,0.38224546,-0.234759,0.5148238,0.58542819,0.51057445,0.52474318,0.55916561,0.65901194,0.44265104,0.61090584,0.65123705,0.55914939,0.58155364,-113.97427,47.14743,47.14743
camels_12388400,0.24787047,0.03573452,0.12004217,0.18625267,0.07583962,0.0164753,0.12774613,0.32292899,0.3299762,0.28148148,0.06725794,0.24075543,0.08556433,0.04108442,0.03327636,0.03603111,0.05036084,0.03624907,0.03656688,0.06665442,0.22919521,0.18178041,-114.40679,47.26632,47.26632
camels_12390700,-0.34431556,-0.01140521,0.21461251,-0.04782243,0.0099325,0.13243839,0.05117562,0.07552491,-0.04134272,-0.03199093,-0.08269789,0.00473016,-0.16283641,-0.11348929,-0.08292803,-0.04230867,-0.13676831,-0.11696577,-0.16032331,-0.10560567,-0.09123153,-0.11160575,-115.35515,47.58605,47.58605
camels_12411000,0.60792846,0.58772451,0.63803755,0.75865951,0.80169663,0.70716067,0.7720672,0.78683321,0.78251612,0.77429116,0.72517772,0.82186969,0.83402196,0.74543246,0.77829025,0.81958564,0.80969331,0.76625203,0.75944351,0.80082201,0.81076422,0.7282462,-115.97917,47.70611,47.70611
camels_12414500,0.91063638,0.93457834,0.921959,0.93990121,0.90849857,0.94868652,0.87266265,0.9403116,0.88706977,0.90070268,0.90723159,0.89845457,0.88154039,0.94819258,0.93387643,0.93764079,0.93918478,0.93925071,0.92751774,0.94944415,0.93968429,0.94264788,-116.18905,47.27464,47.27464
camels_12447390,0.19417992,0.64158256,0.69960889,0.64588646,0.05664467,0.45044791,0.44904246,0.52066581,0.28007351,0.39483585,0.42913674,0.47274151,0.42578022,0.4047828,0.34431231,0.3076583,0.3579813,-0.00772274,0.04284173,-0.03237268,-0.02113634,-0.01219892,-120.14592,48.82292,48.82292
camels_12451000,0.71723353,0.73149266,0.65871045,0.67535531,0.65733625,0.70144473,0.70825539,0.69510138,0.70607319,0.69657589,0.66921635,0.69849133,0.69688237,0.66956305,0.63385823,0.665347,0.69267475,0.71231298,0.71208066,0.70587415,0.72021282,0.69023518,-120.69177,48.32958,48.32958
camels_12488500,0.51363733,0.66114587,0.71697218,0.73679437,0.79335187,0.86474408,0.66395399,0.84325911,0.80791381,0.88509375,0.6437054,0.48587659,0.39583922,0.60048112,0.81708999,0.78903023,0.77840974,0.67929221,0.71457458,0.81447975,0.80150988,0.81294898,-121.1687,46.97762,46.97762
camels_13011500,0.55741405,0.66723683,0.70808561,0.71560436,0.57719037,0.74760012,0.71885914,0.61453724,-0.11336506,0.63226407,0.68587268,0.63732654,0.71061997,0.70123407,0.703002,0.6894467,0.68656119,0.67418468,0.68962218,0.47719931,0.54561041,0.26487391,-110.51778,43.85028,43.85028
camels_13011900,0.80720646,0.82902112,0.89428841,0.92593315,0.90973621,0.92298336,0.91441072,0.92119635,0.93157697,0.93177745,0.92095346,0.92230385,0.91997912,0.9379905,0.91716932,0.90899307,0.86400984,0.82419828,0.81612307,0.88781946,0.90946193,0.87820116,-110.44111,43.83806,43.83806
camels_13018300,0.76940489,0.70681983,0.67658828,0.41271645,0.3765641,0.14573165,0.15187665,0.36429577,0.35531788,0.46348269,0.50916974,0.53485524,0.52696344,0.54518505,0.01378544,0.26554826,0.38458739,0.4217833,0.37937293,0.40940868,0.26810398,0.16688826,-110.70409,43.45215,43.45215
camels_13023000,0.69352645,0.72323773,0.78124663,0.7879578,0.79619856,0.82223067,0.81810921,0.86610408,0.85218207,0.84660812,0.80053612,0.84188558,0.83574067,0.82645829,0.83863469,0.83569961,0.81939161,0.83413204,0.83193223,0.8489834,0.86600479,0.84243039,-110.97667,43.14278,43.14278
camels_13083000,0.34432946,0.06382596,0.17521986,0.69839733,0.58597614,0.66616877,0.13869077,-0.04326416,0.0313859,0.21706726,0.42263257,-0.00162407,-0.96935178,-0.1948872,-0.73272491,-0.56329426,-0.72666156,-0.81146636,-1.18103222,-1.43781237,-1.82109745,-1.20831404,-113.98361,42.16583,42.16583
camels_13161500,0.49184869,0.58640542,0.11840324,0.39406443,0.75324294,0.25138613,0.30848183,0.65274018,0.22772219,0.63469167,0.51570047,0.70442498,0.75373005,-0.04556535,-0.42827141,0.29111595,0.18534822,0.62952947,0.55654278,0.64952615,0.60917536,0.29771236,-115.67453,41.93324,41.93324
camels_13235000,0.37732485,0.1601007,0.03583416,0.7867278,0.7595005,0.46067739,0.57361106,0.46207747,0.42938895,0.62830445,0.76399319,0.58429022,0.30997005,0.30912528,0.23870594,0.23209796,0.19966205,0.22399224,0.29348961,0.27692041,0.22592006,0.27318483,-115.62222,44.08528,44.08528
camels_13240000,0.60512299,0.59467052,0.24381728,0.27607941,0.27506592,0.27283289,0.27254646,0.26850632,0.25947378,0.2729715,0.27253667,0.2638529,0.26730487,0.27519158,0.28789616,0.27797513,0.28249234,0.28104191,0.2801765,0.2805919,0.32526655,0.29629212,-115.99722,44.91361,44.91361
camels_13310700,-0.04021978,-0.21957985,-0.4636792,-0.42384217,0.64999579,0.55760335,0.55489731,0.6079558,0.6426479,0.5472682,0.52881941,0.58838068,0.36661665,0.48551597,0.63068953,0.70964962,0.7177036,0.71574432,0.68431766,0.68443608,0.47939213,0.59433013,-115.725,44.98694,44.98694
camels_13313000,0.81032884,0.80862241,0.85953992,0.86984965,0.84430786,0.62546098,0.61088624,0.73198171,0.86963536,0.84464852,0.76756951,0.78133995,0.79328985,0.80531704,0.85153554,0.835401,0.81716916,0.84094178,0.79652199,0.67794038,0.44278916,0.69957541,-115.5,44.96167,44.96167
camels_13331500,0.58653556,0.51727437,0.40778715,0.29402488,0.04358484,0.55903198,0.62604082,0.60358517,0.60998725,0.71147383,0.60799264,0.58998699,0.75082279,0.66557657,0.64841294,0.61650184,0.63877073,0.63299991,0.60685294,0.5720562,0.49565215,0.56884303,-117.72659,45.61987,45.61987
camels_13337000,0.74963561,0.76221602,0.75304342,0.71395203,0.77900082,0.64956377,0.73491821,0.69595267,0.68646498,0.76193869,0.65978159,0.63882497,0.60313765,0.63007812,0.67717927,0.67485841,0.6525268,0.67645734,0.66445488,0.6651026,0.6657981,0.66400421,-115.58722,46.15083,46.15083
camels_13338500,0.49285126,-2.56324294,-1.16305485,-0.0092058,0.03578642,-0.35390634,-0.80757759,-0.21006701,-0.2556912,-0.09587528,0.5656767,0.1546136,0.01181631,-0.18398213,0.08815801,-0.70052224,-1.28880804,-1.27096196,-0.3434337,-0.39559334,-0.65669049,-1.05663555,-115.97667,46.08639,46.08639
camels_13340000,0.520582,0.49445848,0.24966204,0.62397886,0.90279745,0.77394705,0.79169884,0.51310971,0.40025427,0.81057001,0.35399778,0.43673366,0.64088513,0.87708683,0.84436737,0.83763372,0.80115421,0.85759751,0.8196885,0.80824992,0.80063172,0.86586573,-116.2575,46.47833,46.47833
camels_13340600,0.93879313,0.89070355,0.89281553,0.87577148,0.85769756,0.90557608,0.90820515,0.89672385,0.89401429,0.85931535,0.87656827,0.86873374,0.84528968,0.87070307,0.87403497,0.84957627,0.87755742,0.90417837,0.91819538,0.93029542,0.94516367,0.92286763,-115.6207,46.84047,46.84047
camels_14020000,0.66839606,0.6115206,0.64491853,0.61431198,0.57348423,0.66344609,0.71530911,0.81551471,0.61690256,0.69218831,0.76422766,0.81138844,0.57057995,0.49193821,0.56333327,0.50891834,0.52405408,0.75978584,0.44832488,0.41735194,0.43274381,0.37349406,-118.32329,45.71958,45.71958
camels_14092750,0.32068845,0.30559001,0.30488249,0.1807267,0.23184486,-0.23206948,-0.23989595,-0.15299343,-0.20873563,-0.19433144,-0.20422517,-0.32343848,-0.14327999,-0.26117411,-0.28221517,0.25148145,0.25598784,0.24279661,-0.0357538,-0.10750998,-0.18794145,-0.23900583,-121.6334,44.75039,44.75039
camels_14096850,-0.63454265,-1.18867756,-0.02594802,-2.60620686,-2.9592542,-2.76854797,-2.4213708,-0.49777178,-0.22048213,-1.33776057,0.16501874,0.01375303,0.26649506,0.28455112,0.57741537,0.06883716,0.11914122,-0.04036727,-0.07148087,0.28298452,0.24975237,0.22927381,-121.39423,44.95873,44.95873
camels_14137000,0.69830839,0.72393447,0.66155495,0.75282651,0.85646391,0.68749697,0.70322759,0.78000842,0.43713881,0.74281296,0.6006938,0.63112533,0.60348223,0.61048858,0.78381903,0.79041353,0.76521907,0.78460405,0.75621161,0.77849822,0.7674285,0.77110944,-122.13731,45.39956,45.39956
