gauge_id,KGE
camels_01013500,[0.47936212]
camels_01022500,[0.72577271]
camels_01030500,[-0.5881717]
camels_01031500,[0.79240568]
camels_01047000,[0.8962875]
camels_01052500,[0.76365387]
camels_01054200,[0.59539922]
camels_01055000,[0.7166872]
camels_01057000,[0.90110537]
camels_01073000,[0.33644737]
camels_01078000,[0.71526249]
camels_01118300,[0.34884815]
camels_01121000,[0.75472496]
camels_01123000,[0.8522903]
camels_01134500,[0.84276164]
camels_01137500,[0.82045713]
camels_01139000,[0.90141211]
camels_01139800,[0.75414148]
camels_01142500,[0.82461952]
camels_01144000,[0.77864822]
camels_01162500,[0.72604588]
camels_01169000,[0.77586728]
camels_01170100,[0.89853027]
camels_01181000,[0.8089165]
camels_01187300,[0.68159483]
camels_01195100,[0.37058636]
camels_01333000,[0.20874159]
camels_01350000,[0.69055982]
camels_01350080,[0.7298519]
camels_01350140,[0.75037104]
camels_01365000,[0.65856627]
camels_01411300,[0.64361265]
camels_01413500,[0.84569867]
camels_01414500,[0.74118538]
camels_01415000,[0.8278838]
camels_01423000,[0.82148493]
camels_01434025,[0.68255407]
camels_01435000,[0.73700127]
camels_01439500,[0.75797276]
camels_01440000,[0.71643606]
camels_01440400,[0.75977906]
camels_01451800,[0.58532286]
camels_01466500,[-0.14187189]
camels_01484100,[0.61604157]
camels_01485500,[0.48851098]
camels_01486000,[0.59495908]
camels_01487000,[0.7686943]
camels_01491000,[0.38595523]
camels_01510000,[0.69443762]
camels_01516500,[0.68286785]
camels_01518862,[0.73782695]
camels_01532000,[0.74991745]
camels_01539000,[0.68898304]
camels_01542810,[0.69946664]
camels_01543000,[0.80603732]
camels_01543500,[0.81781877]
camels_01544500,[0.73902761]
camels_01545600,[0.75311851]
camels_01547700,[0.68936104]
camels_01548500,[0.91311319]
camels_01549500,[0.8136432]
camels_01550000,[0.76212196]
camels_01552000,[0.84136406]
camels_01552500,[0.66099543]
camels_01557500,[0.72856869]
camels_01567500,[0.7123319]
camels_01568000,[0.60831964]
camels_01580000,[0.77922672]
camels_01583500,[0.60845484]
camels_01586610,[0.63750854]
camels_01591400,[0.38595594]
camels_01594950,[0.76239973]
camels_01596500,[0.67635799]
camels_01605500,[0.70461585]
camels_01606500,[0.53398024]
camels_01613050,[0.57396861]
camels_01620500,[0.24499775]
camels_01632000,[0.55591354]
camels_01632900,[0.69691089]
camels_01634500,[0.56121627]
camels_01638480,[0.53919762]
camels_01639500,[0.74200059]
camels_01644000,[0.75544586]
camels_01658500,[0.58766076]
camels_01664000,[0.6558198]
camels_01666500,[0.67727348]
camels_01667500,[0.61933911]
camels_01669000,[0.54417778]
camels_01669520,[0.47632641]
camels_02011400,[0.47919021]
camels_02011460,[0.46734735]
camels_02013000,[0.36448699]
camels_02014000,[0.77101932]
camels_02015700,[0.61273668]
camels_02016000,[0.7530863]
camels_02017500,[0.64692826]
camels_02018000,[0.74722198]
camels_02027000,[0.76141207]
camels_02027500,[0.57530145]
camels_02028500,[0.59417995]
camels_02038850,[0.67433187]
camels_02046000,[0.59372001]
camels_02051000,[0.656836]
camels_02051500,[0.72785401]
camels_02053200,[-0.43504791]
camels_02053800,[0.69717452]
camels_02055100,[0.63247694]
camels_02056900,[0.70623037]
camels_02059500,[0.62779686]
camels_02064000,[0.65422622]
camels_02065500,[0.78742961]
camels_02069700,[0.69356837]
camels_02070000,[0.75591324]
camels_02074500,[0.72406768]
camels_02077200,[0.44919201]
camels_02081500,[0.65656232]
camels_02082950,[0.60577716]
camels_02092500,[0.01622599]
camels_02096846,[0.50189124]
camels_02102908,[0.31482348]
camels_02108000,[-1.4771416]
camels_02111180,[0.73849978]
camels_02111500,[0.83494326]
camels_02112120,[0.78325931]
camels_02112360,[0.80304219]
camels_02118500,[0.65566643]
camels_02125000,[0.47489022]
camels_02128000,[0.50857296]
camels_02137727,[0.73447239]
camels_02140991,[0.59633358]
camels_02143000,[0.66173519]
camels_02143040,[0.45444114]
camels_02149000,[0.7745534]
camels_02152100,[0.72134444]
camels_02177000,[0.78210799]
camels_02178400,[0.83667013]
camels_02193340,[0.54337558]
camels_02196000,[0.07768332]
camels_02198100,[0.06192794]
camels_02202600,[0.24826674]
camels_02212600,[0.2699009]
camels_02215100,[0.64882263]
camels_02216180,[0.42874879]
camels_02221525,[0.73684992]
camels_02231000,[-0.87064846]
camels_02231342,[0.59966397]
camels_02235200,[-0.13135029]
camels_02245500,[0.15456688]
camels_02246000,[0.22368251]
camels_02296500,[0.539833]
camels_02297155,[0.11397833]
camels_02297310,[0.57621604]
camels_02298123,[0.60063255]
camels_02298608,[0.5721914]
camels_02299950,[0.51635774]
camels_02300700,[-0.00521708]
camels_02310947,[-0.16266433]
camels_02312200,[0.22988363]
camels_02314500,[0.48182127]
camels_02315500,[0.56926428]
camels_02324400,[0.37244442]
camels_02327100,[0.0353702]
camels_02342933,[0.43310906]
camels_02349900,[0.4053225]
camels_02350900,[0.62521758]
camels_02361000,[0.45183375]
camels_02363000,[0.4547047]
camels_02369800,[0.45509132]
camels_02371500,[0.51804987]
camels_02372250,[0.40114407]
camels_02374500,[0.69515257]
camels_02381600,[0.02228814]
camels_02384540,[0.44003802]
camels_02395120,[0.61359946]
camels_02408540,[0.5144335]
camels_02415000,[0.35987996]
camels_02422500,[0.60890048]
camels_02427250,[0.51572477]
camels_02430085,[0.74244875]
camels_02430615,[0.75953147]
camels_02450250,[0.51571038]
camels_02464000,[0.55581121]
camels_02464146,[0.68547934]
camels_02464360,[0.60513379]
camels_02465493,[0.60387995]
camels_02469800,[0.48599971]
camels_02472000,[0.24435712]
camels_02472500,[0.40538651]
camels_02479155,[0.53992011]
camels_02479300,[0.61748498]
camels_02479560,[0.41855336]
camels_02481000,[0.49961047]
camels_02481510,[0.61660877]
camels_03010655,[0.79564255]
camels_03011800,[0.82140565]
camels_03015500,[0.75839814]
camels_03021350,[0.67669393]
camels_03026500,[0.74251542]
camels_03028000,[0.734929]
camels_03049000,[-1.29961195]
camels_03049800,[-2.41033912]
camels_03050000,[0.56507015]
camels_03066000,[0.50270186]
camels_03069500,[0.63114529]
camels_03070500,[0.62016]
camels_03076600,[0.74097977]
camels_03078000,[0.78758488]
camels_03140000,[0.57438925]
camels_03144000,[0.66415032]
camels_03159540,[0.58126393]
camels_03161000,[0.82702309]
camels_03164000,[0.37052824]
camels_03165000,[0.63511314]
camels_03170000,[0.70466863]
camels_03173000,[0.69084033]
camels_03180500,[0.7400355]
camels_03182500,[0.12224978]
camels_03186500,[0.49028774]
camels_03187500,[0.57329801]
camels_03213700,[0.71850443]
camels_03237280,[0.54457043]
camels_03237500,[0.4224626]
camels_03238500,[0.49426829]
camels_03241500,[0.68774517]
camels_03280700,[0.58684404]
camels_03281100,[0.64017919]
camels_03281500,[0.68445173]
camels_03285000,[0.43711279]
camels_03291780,[0.63106322]
camels_03300400,[0.58343497]
camels_03338780,[0.39494451]
camels_03340800,[0.58457277]
camels_03346000,[-1.73305301]
camels_03357350,[0.57671611]
camels_03364500,[0.68128496]
camels_03366500,[0.4929837]
camels_03368000,[0.6524121]
camels_03384450,[0.3116321]
camels_03439000,[0.62504349]
camels_03450000,[-0.0134906]
camels_03455500,[0.53381631]
camels_03456500,[0.5417127]
camels_03460000,[0.46403912]
camels_03463300,[0.40570243]
camels_03471500,[0.65044593]
camels_03473000,[0.74539043]
camels_03479000,[0.29050381]
camels_03488000,[0.73459217]
camels_03498500,[0.46319829]
camels_03500000,[0.80509992]
camels_03500240,[0.6031754]
camels_03504000,[0.62570424]
camels_03574500,[0.64928539]
camels_03592718,[0.63918531]
camels_03604000,[0.49357599]
camels_04015330,[0.53652973]
camels_04024430,[0.54147597]
camels_04027000,[0.29482812]
camels_04040500,[0.498824]
camels_04043050,[0.16978301]
camels_04045500,[-1.51284089]
camels_04056500,[0.7698769]
camels_04057510,[0.68630856]
camels_04057800,[0.66814199]
camels_04059500,[0.39674176]
camels_04063700,[0.68144416]
camels_04074950,[0.68197995]
camels_04105700,[-0.74417448]
camels_04115265,[0.11798458]
camels_04122200,[0.71828327]
camels_04122500,[0.8316206]
camels_04124000,[0.74193609]
camels_04127918,[0.42807232]
camels_04127997,[-0.16642969]
camels_04161580,[0.02357161]
camels_04185000,[0.50986436]
camels_04196800,[0.57800772]
camels_04197100,[0.69277137]
camels_04197170,[0.52942392]
camels_04213000,[0.5125791]
camels_04213075,[0.4823484]
camels_04216418,[0.77762668]
camels_04221000,[0.85772813]
camels_04224775,[0.73079497]
camels_04233000,[0.71013544]
camels_04256000,[0.86211463]
camels_04296000,[0.75563932]
camels_05056000,[0.86495994]
camels_05057000,[0.68208735]
camels_05057200,[-0.1281621]
camels_05062500,[0.39060218]
camels_05087500,[-2.1377334]
camels_05120500,[0.14724089]
camels_05123400,[-0.82097057]
camels_05129115,[0.30615183]
camels_05131500,[-0.7874849]
camels_05291000,[0.58732544]
camels_05362000,[0.48748454]
camels_05393500,[0.72304688]
camels_05399500,[0.31946943]
camels_05408000,[0.32885136]
camels_05412500,[0.50753016]
camels_05413500,[0.56877246]
camels_05414000,[0.568595]
camels_05444000,[0.60189117]
camels_05454000,[0.36423486]
camels_05458000,[0.37332425]
camels_05466500,[0.61577043]
camels_05487980,[0.67086689]
camels_05488200,[0.55217132]
camels_05489000,[0.62073433]
camels_05495000,[0.38931336]
camels_05495500,[0.49843622]
camels_05501000,[-0.12081702]
camels_05503800,[-0.23968967]
camels_05507600,[-0.21148765]
camels_05508805,[0.40956455]
camels_05514500,[0.5012958]
camels_05525500,[0.59541012]
camels_05556500,[0.59913347]
camels_05584500,[0.57357718]
camels_05585000,[0.55009446]
camels_05591550,[0.42891123]
camels_05592050,[0.47390763]
camels_05592575,[-0.5004475]
camels_05593575,[-0.05110415]
camels_05593900,[0.47875852]
camels_05595730,[0.32610932]
camels_06037500,[-1.43866893]
camels_06043500,[0.8562943]
camels_06154410,[-0.16399771]
camels_06188000,[0.70969414]
camels_06191500,[0.72333039]
camels_06221400,[0.35858794]
camels_06224000,[0.58512024]
camels_06278300,[0.36750007]
camels_06280300,[0.86096357]
camels_06289000,[0.57382624]
camels_06291500,[-0.65091496]
camels_06311000,[0.30165314]
camels_06332515,[0.20311725]
camels_06339100,[0.09585267]
camels_06339500,[0.52808469]
camels_06344600,[-2.71754841]
camels_06350000,[0.34839475]
camels_06352000,[0.37026155]
camels_06353000,[0.32020149]
camels_06354000,[0.6369545]
camels_06360500,[0.2486852]
camels_06404000,[0.36575966]
camels_06406000,[-2.40383103]
camels_06408700,[-0.24588193]
camels_06409000,[-1.70325705]
camels_06431500,[0.29405178]
camels_06440200,[-0.90162932]
camels_06441500,[-3.33580324]
camels_06447000,[0.12199216]
camels_06447500,[0.38763408]
camels_06450500,[0.36255137]
camels_06452000,[0.36364009]
camels_06453600,[-3.89482695]
camels_06464500,[0.14257086]
camels_06468170,[0.64056474]
camels_06468250,[0.32852571]
camels_06470800,[0.19347911]
camels_06477500,[0.24159064]
camels_06479215,[0.59489236]
camels_06479438,[0.55786832]
camels_06601000,[0.45448024]
camels_06614800,[0.60506118]
camels_06622700,[0.07091883]
camels_06623800,[0.66989211]
camels_06632400,[0.00939341]
camels_06746095,[0.19378711]
camels_06784000,[0.52390028]
camels_06803510,[0.48260785]
camels_06803530,[0.54161869]
camels_06814000,[0.68346275]
camels_06847900,[-4.76306824]
camels_06853800,[0.4572805]
camels_06876700,[0.33960169]
camels_06878000,[0.45257688]
