gauge_id,KGE
camels_01013500,[-0.36386054]
camels_01022500,[0.36151422]
camels_01030500,[-0.90824566]
camels_01031500,[0.80234253]
camels_01047000,[0.70053979]
camels_01052500,[0.74119609]
camels_01054200,[0.22273374]
camels_01055000,[0.58954918]
camels_01057000,[0.85847206]
camels_01073000,[-1.51374762]
camels_01078000,[0.86034074]
camels_01118300,[0.4722776]
camels_01121000,[0.80248776]
camels_01123000,[-0.10505137]
camels_01134500,[0.79778634]
camels_01137500,[0.81800006]
camels_01139000,[0.84189571]
camels_01139800,[0.69441213]
camels_01142500,[0.83435057]
camels_01144000,[0.62893566]
camels_01162500,[0.76111431]
camels_01169000,[0.76046225]
camels_01170100,[0.32284425]
camels_01181000,[0.82854088]
camels_01187300,[0.71341871]
camels_01195100,[0.6557801]
camels_01333000,[-1.12220161]
camels_01350000,[0.67426046]
camels_01350080,[0.73914098]
camels_01350140,[0.65033086]
camels_01365000,[0.68450413]
camels_01411300,[-0.08972141]
camels_01413500,[0.8320664]
camels_01414500,[0.73466301]
camels_01415000,[0.83739935]
camels_01423000,[0.83915572]
camels_01434025,[0.6779143]
camels_01435000,[0.72911318]
camels_01439500,[0.72762123]
camels_01440000,[0.63386179]
camels_01440400,[0.75129462]
camels_01451800,[0.6960974]
camels_01466500,[-0.84158088]
camels_01484100,[0.66511513]
camels_01485500,[0.56599528]
camels_01486000,[0.68388374]
camels_01487000,[0.74538336]
camels_01491000,[0.43478642]
camels_01510000,[0.73189974]
camels_01516500,[0.65811767]
camels_01518862,[0.73189098]
camels_01532000,[0.68559107]
camels_01539000,[0.81005695]
camels_01542810,[0.67665647]
camels_01543000,[0.79147701]
camels_01543500,[0.84600854]
camels_01544500,[0.75305936]
camels_01545600,[0.82337373]
camels_01547700,[0.77989106]
camels_01548500,[0.90171767]
camels_01549500,[0.77099411]
camels_01550000,[0.80312859]
camels_01552000,[0.87907516]
camels_01552500,[0.74262517]
camels_01557500,[0.74646706]
camels_01567500,[0.67531563]
camels_01568000,[0.62743835]
camels_01580000,[0.77666441]
camels_01583500,[0.47925961]
camels_01586610,[0.62694221]
camels_01591400,[0.44142731]
camels_01594950,[0.76306471]
camels_01596500,[0.61957455]
camels_01605500,[0.55686756]
camels_01606500,[0.69771139]
camels_01613050,[0.67747432]
camels_01620500,[0.30424245]
camels_01632000,[0.6127941]
camels_01632900,[0.50803519]
camels_01634500,[0.56302525]
camels_01638480,[0.49179433]
camels_01639500,[0.54206436]
camels_01644000,[0.73742193]
camels_01658500,[0.50393972]
camels_01664000,[0.45836116]
camels_01666500,[0.69887759]
camels_01667500,[0.5764773]
camels_01669000,[0.60857971]
camels_01669520,[0.2209314]
camels_02011400,[0.51081836]
camels_02011460,[0.04507102]
camels_02013000,[0.21576149]
camels_02014000,[0.80151396]
camels_02015700,[0.59821596]
camels_02016000,[0.74510777]
camels_02017500,[0.64056928]
camels_02018000,[0.67926087]
camels_02027000,[0.74795988]
camels_02027500,[0.54240671]
camels_02028500,[0.60500992]
camels_02038850,[0.67150097]
camels_02046000,[0.5778639]
camels_02051000,[0.63115391]
camels_02051500,[0.7264114]
camels_02053200,[0.04878081]
camels_02053800,[0.43119792]
camels_02055100,[0.59525929]
camels_02056900,[0.74432036]
camels_02059500,[0.61721094]
camels_02064000,[0.77060134]
camels_02065500,[0.83170786]
camels_02069700,[0.7104449]
camels_02070000,[0.75889555]
camels_02074500,[0.72201866]
camels_02077200,[0.44538154]
camels_02081500,[0.60276145]
camels_02082950,[0.51857699]
camels_02092500,[0.28672605]
camels_02096846,[0.44778553]
camels_02102908,[0.17424968]
camels_02108000,[-0.28813956]
camels_02111180,[0.66368224]
camels_02111500,[0.79742045]
camels_02112120,[0.72779544]
camels_02112360,[0.78676759]
camels_02118500,[0.67387447]
camels_02125000,[0.44794545]
camels_02128000,[0.54449558]
camels_02137727,[0.73176781]
camels_02140991,[0.58616257]
camels_02143000,[0.63173288]
camels_02143040,[0.47244024]
camels_02149000,[0.73241617]
camels_02152100,[0.67966828]
camels_02177000,[0.65881665]
camels_02178400,[0.79093003]
camels_02193340,[0.40173182]
camels_02196000,[0.00739063]
camels_02198100,[0.49932171]
camels_02202600,[0.24358178]
camels_02212600,[0.12214854]
camels_02215100,[0.58176251]
camels_02216180,[0.4413113]
camels_02221525,[0.74293666]
camels_02231000,[-0.15767726]
camels_02231342,[0.57658206]
camels_02235200,[-0.52727482]
camels_02245500,[0.01365694]
camels_02246000,[-0.11346495]
camels_02296500,[0.51979251]
camels_02297155,[0.10445138]
camels_02297310,[0.59328342]
camels_02298123,[0.32241056]
camels_02298608,[0.52105044]
camels_02299950,[0.4809883]
camels_02300700,[0.12134125]
camels_02310947,[-0.36073095]
camels_02312200,[0.29018508]
camels_02314500,[0.43529799]
camels_02315500,[0.042936]
camels_02324400,[0.54101872]
camels_02327100,[0.01376653]
camels_02342933,[0.48263545]
camels_02349900,[0.55774927]
camels_02350900,[0.5861163]
camels_02361000,[0.49521769]
camels_02363000,[0.47670564]
camels_02369800,[0.42668721]
camels_02371500,[0.55577487]
camels_02372250,[0.24233495]
camels_02374500,[0.75613253]
camels_02381600,[0.25590514]
camels_02384540,[0.44781145]
camels_02395120,[0.46307381]
camels_02408540,[0.54716806]
camels_02415000,[0.31000412]
camels_02422500,[0.62665454]
camels_02427250,[0.45944073]
camels_02430085,[0.73844052]
camels_02430615,[0.76630216]
camels_02450250,[0.50864151]
camels_02464000,[0.56859933]
camels_02464146,[0.62502901]
camels_02464360,[0.76937403]
camels_02465493,[0.64910127]
camels_02469800,[0.2830691]
camels_02472000,[0.05671712]
camels_02472500,[0.50983052]
camels_02479155,[0.43370944]
camels_02479300,[0.56733191]
camels_02479560,[0.25305141]
camels_02481000,[0.46106456]
camels_02481510,[0.54013817]
camels_03010655,[0.77384199]
camels_03011800,[0.81968096]
camels_03015500,[0.7233271]
camels_03021350,[0.68219091]
camels_03026500,[0.72579478]
camels_03028000,[0.74181167]
camels_03049000,[0.41998172]
camels_03049800,[0.14225401]
camels_03050000,[0.5938418]
camels_03066000,[0.50482605]
camels_03069500,[0.64011472]
camels_03070500,[0.63270622]
camels_03076600,[0.74938415]
camels_03078000,[0.76283874]
camels_03140000,[0.63003449]
camels_03144000,[0.65669487]
