gauge_id,KGE
camels_01013500,[-0.31888064]
camels_01022500,[0.73837035]
camels_01030500,[-0.56242375]
camels_01031500,[0.84756717]
camels_01047000,[0.92021768]
camels_01052500,[0.76196935]
camels_01054200,[0.66376749]
camels_01055000,[0.89837851]
camels_01057000,[0.88373859]
camels_01073000,[-1.76052741]
camels_01078000,[0.89594734]
camels_01118300,[0.36312806]
camels_01121000,[0.82664216]
camels_01123000,[0.87108583]
camels_01134500,[0.84959733]
camels_01137500,[0.82879123]
camels_01139000,[0.88320522]
camels_01139800,[0.74022051]
camels_01142500,[0.78590688]
camels_01144000,[0.79112641]
camels_01162500,[0.7450449]
camels_01169000,[0.77259925]
camels_01170100,[0.90993578]
camels_01181000,[0.83447861]
camels_01187300,[0.74527258]
camels_01195100,[0.62602702]
camels_01333000,[-0.14137562]
camels_01350000,[0.73823609]
camels_01350080,[0.84049412]
camels_01350140,[0.71589782]
camels_01365000,[0.66430873]
camels_01411300,[0.62383044]
camels_01413500,[0.82466744]
camels_01414500,[0.77530576]
camels_01415000,[0.83898345]
camels_01423000,[0.81575029]
camels_01434025,[0.70054271]
camels_01435000,[0.75098574]
camels_01439500,[0.70471254]
camels_01440000,[0.64768602]
camels_01440400,[0.72045019]
camels_01451800,[0.34038557]
camels_01466500,[-0.3437748]
camels_01484100,[0.61225911]
camels_01485500,[0.4613018]
camels_01486000,[0.61156591]
camels_01487000,[0.78990148]
camels_01491000,[0.44046841]
camels_01510000,[0.58302965]
camels_01516500,[0.72903092]
camels_01518862,[0.77099244]
camels_01532000,[0.7606613]
camels_01539000,[0.76625437]
camels_01542810,[0.69440497]
camels_01543000,[0.84204724]
camels_01543500,[0.8621102]
camels_01544500,[0.80126794]
camels_01545600,[0.80760861]
camels_01547700,[0.68214406]
camels_01548500,[0.91823451]
camels_01549500,[0.73867742]
camels_01550000,[0.73091516]
camels_01552000,[0.83894685]
camels_01552500,[0.71810228]
camels_01557500,[0.6625065]
camels_01567500,[0.74179297]
camels_01568000,[0.62973964]
camels_01580000,[0.73683186]
camels_01583500,[0.68742113]
camels_01586610,[0.54387673]
camels_01591400,[0.2457081]
camels_01594950,[0.80298866]
camels_01596500,[0.66710163]
camels_01605500,[0.66382558]
camels_01606500,[0.58550209]
camels_01613050,[0.64585712]
camels_01620500,[0.23047914]
camels_01632000,[0.59637275]
camels_01632900,[0.76359054]
camels_01634500,[0.60535195]
camels_01638480,[0.52091556]
camels_01639500,[0.67959082]
camels_01644000,[0.45677762]
camels_01658500,[0.62146881]
camels_01664000,[0.5696191]
camels_01666500,[0.67142272]
camels_01667500,[0.65875455]
camels_01669000,[0.50741378]
camels_01669520,[0.31177756]
camels_02011400,[0.55511552]
camels_02011460,[0.07336469]
camels_02013000,[0.4119516]
camels_02014000,[0.78607142]
camels_02015700,[0.52763572]
camels_02016000,[0.76352287]
camels_02017500,[0.59368654]
camels_02018000,[0.71263926]
camels_02027000,[0.69865619]
camels_02027500,[0.59923691]
camels_02028500,[0.56953201]
camels_02038850,[0.75020791]
camels_02046000,[0.56192711]
camels_02051000,[0.6789132]
camels_02051500,[0.7287877]
camels_02053200,[-0.30374205]
camels_02053800,[0.7144211]
camels_02055100,[0.58976031]
camels_02056900,[0.51927949]
camels_02059500,[0.18164204]
camels_02064000,[-0.13458744]
camels_02065500,[0.76413912]
camels_02069700,[0.73559016]
camels_02070000,[0.71189152]
camels_02074500,[0.49640484]
camels_02077200,[0.45882213]
camels_02081500,[0.67767443]
camels_02082950,[0.41526509]
camels_02092500,[0.2681592]
camels_02096846,[0.55923877]
camels_02102908,[0.38221599]
camels_02108000,[0.17097066]
camels_02111180,[0.71550583]
camels_02111500,[0.85712933]
camels_02112120,[0.77537877]
camels_02112360,[0.82786255]
camels_02118500,[0.64279109]
camels_02125000,[0.48079894]
camels_02128000,[0.5261032]
camels_02137727,[0.7566772]
camels_02140991,[0.5754118]
camels_02143000,[0.68828966]
camels_02143040,[0.47482349]
camels_02149000,[0.77923146]
camels_02152100,[0.70117731]
camels_02177000,[0.72952219]
camels_02178400,[0.78081844]
camels_02193340,[0.40297053]
camels_02196000,[0.38464366]
camels_02198100,[0.05736814]
camels_02202600,[0.26084634]
camels_02212600,[0.56851543]
camels_02215100,[0.50524641]
camels_02216180,[0.47561831]
camels_02221525,[0.81471919]
camels_02231000,[-1.87437961]
camels_02231342,[0.5494755]
camels_02235200,[-0.29592268]
camels_02245500,[0.36053516]
camels_02246000,[0.15900691]
camels_02296500,[0.53558778]
camels_02297155,[0.12463245]
camels_02297310,[0.59465202]
camels_02298123,[0.61373261]
camels_02298608,[0.54860538]
camels_02299950,[0.54207098]
camels_02300700,[0.01662296]
camels_02310947,[-0.09735407]
camels_02312200,[0.51581599]
camels_02314500,[0.48810172]
camels_02315500,[0.55792555]
camels_02324400,[0.36413031]
camels_02327100,[-0.01796752]
camels_02342933,[0.40469578]
camels_02349900,[0.49957075]
camels_02350900,[0.61539584]
camels_02361000,[0.02889749]
camels_02363000,[0.51834316]
camels_02369800,[0.48536538]
camels_02371500,[0.53454273]
camels_02372250,[0.46108218]
camels_02374500,[0.58904899]
camels_02381600,[0.36479053]
camels_02384540,[0.43209865]
camels_02395120,[0.58829074]
camels_02408540,[0.49482761]
camels_02415000,[0.4164705]
camels_02422500,[0.66096936]
camels_02427250,[0.49742456]
camels_02430085,[0.77034704]
camels_02430615,[0.68410459]
camels_02450250,[0.48384611]
camels_02464000,[0.56807492]
camels_02464146,[0.59833455]
camels_02464360,[0.60401237]
camels_02465493,[0.60098983]
camels_02469800,[0.43127337]
camels_02472000,[0.34380751]
camels_02472500,[0.39858334]
camels_02479155,[0.48663262]
