gauge_id,KGE
camels_01013500,[0.41467778]
camels_01022500,[0.65769878]
camels_01030500,[-0.05881235]
camels_01031500,[0.78385447]
camels_01047000,[0.84847061]
camels_01052500,[0.69552021]
camels_01054200,[0.64132702]
camels_01055000,[0.79774688]
camels_01057000,[0.86219932]
camels_01073000,[-0.04637575]
camels_01078000,[0.76188599]
camels_01118300,[0.55034243]
camels_01121000,[0.72799725]
camels_01123000,[0.80728472]
camels_01134500,[0.72268531]
camels_01137500,[0.84805458]
camels_01139000,[0.91361734]
camels_01139800,[0.2895747]
camels_01142500,[0.79968388]
camels_01144000,[0.72873641]
camels_01162500,[0.74185939]
camels_01169000,[0.78656637]
camels_01170100,[0.84611303]
camels_01181000,[0.80137981]
camels_01187300,[0.70254196]
camels_01195100,[0.66093318]
camels_01333000,[0.37230047]
camels_01350000,[0.69606733]
camels_01350080,[0.76217349]
camels_01350140,[0.73729]
camels_01365000,[0.71370876]
camels_01411300,[0.70698665]
camels_01413500,[0.84660446]
camels_01414500,[0.72719362]
camels_01415000,[0.82986651]
camels_01423000,[0.84912843]
camels_01434025,[0.63894944]
camels_01435000,[0.71991714]
camels_01439500,[0.71422577]
camels_01440000,[0.66854284]
camels_01440400,[0.74595803]
camels_01451800,[0.69635671]
camels_01466500,[-0.61627943]
camels_01484100,[0.66842711]
camels_01485500,[0.37039223]
camels_01486000,[0.6397483]
camels_01487000,[0.77111595]
camels_01491000,[0.43032799]
camels_01510000,[0.73261663]
camels_01516500,[0.66281234]
camels_01518862,[0.7390659]
camels_01532000,[0.63260418]
camels_01539000,[0.76928662]
camels_01542810,[0.684889]
camels_01543000,[0.79839091]
camels_01543500,[0.84080901]
camels_01544500,[0.74369977]
camels_01545600,[0.82383808]
camels_01547700,[0.76230415]
camels_01548500,[0.87026148]
camels_01549500,[0.76725666]
camels_01550000,[0.78845156]
camels_01552000,[0.85605706]
camels_01552500,[0.74137461]
camels_01557500,[0.71994486]
camels_01567500,[0.68090541]
camels_01568000,[0.61968944]
camels_01580000,[0.78006521]
camels_01583500,[0.52177106]
camels_01586610,[0.64013613]
camels_01591400,[0.37163509]
camels_01594950,[0.74804489]
camels_01596500,[0.62548155]
camels_01605500,[0.59163474]
camels_01606500,[0.66878127]
camels_01613050,[0.61533425]
camels_01620500,[0.29713131]
camels_01632000,[0.59682311]
camels_01632900,[0.47362315]
camels_01634500,[0.59226697]
camels_01638480,[0.51292756]
camels_01639500,[0.57311442]
camels_01644000,[0.70109648]
camels_01658500,[0.53424562]
camels_01664000,[0.52591783]
camels_01666500,[0.66410848]
camels_01667500,[0.66723259]
camels_01669000,[0.572717]
camels_01669520,[0.47065506]
camels_02011400,[0.56014747]
camels_02011460,[0.46264765]
camels_02013000,[0.33909023]
camels_02014000,[0.7848372]
camels_02015700,[0.61919052]
camels_02016000,[0.71545121]
camels_02017500,[0.64283296]
camels_02018000,[0.71458466]
camels_02027000,[0.69516806]
camels_02027500,[0.51367478]
camels_02028500,[0.55078497]
camels_02038850,[0.62528383]
camels_02046000,[0.54865701]
camels_02051000,[0.61106208]
camels_02051500,[0.72115746]
camels_02053200,[0.03044924]
camels_02053800,[0.42819935]
camels_02055100,[0.5607968]
camels_02056900,[0.74445658]
camels_02059500,[0.63197732]
camels_02064000,[0.71862883]
camels_02065500,[0.81757866]
camels_02069700,[0.71587695]
camels_02070000,[0.76846791]
camels_02074500,[0.67352416]
camels_02077200,[0.43328526]
camels_02081500,[0.63513459]
camels_02082950,[0.55166452]
camels_02092500,[0.29874726]
camels_02096846,[0.45236136]
camels_02102908,[0.24567302]
camels_02108000,[-0.21322365]
camels_02111180,[0.65850606]
camels_02111500,[0.79566172]
camels_02112120,[0.73859612]
camels_02112360,[0.77548646]
camels_02118500,[0.6617889]
camels_02125000,[0.46590438]
camels_02128000,[0.54233113]
camels_02137727,[0.73319497]
camels_02140991,[0.58625867]
camels_02143000,[0.63365725]
camels_02143040,[0.45111732]
camels_02149000,[0.75740656]
camels_02152100,[0.69345423]
camels_02177000,[-0.16477658]
camels_02178400,[0.82524302]
camels_02193340,[0.54261141]
camels_02196000,[0.16705649]
camels_02198100,[0.47179431]
camels_02202600,[0.19353249]
camels_02212600,[0.18075442]
camels_02215100,[0.55792985]
camels_02216180,[0.43184238]
camels_02221525,[0.70706311]
camels_02231000,[0.00133434]
camels_02231342,[0.63237821]
camels_02235200,[-0.12771224]
camels_02245500,[0.35537981]
camels_02246000,[0.09525709]
camels_02296500,[0.54747781]
camels_02297155,[0.16204517]
camels_02297310,[0.53071689]
camels_02298123,[0.62557601]
camels_02298608,[0.4859018]
