gauge_id,KGE
camels_01013500,[-0.7769816]
camels_01022500,[0.80868675]
camels_01030500,[-1.30980476]
camels_01031500,[0.84087262]
camels_01047000,[0.91582843]
camels_01052500,[0.73335749]
camels_01054200,[0.61452944]
camels_01055000,[0.70897097]
camels_01057000,[0.90858821]
camels_01073000,[-1.62930302]
camels_01078000,[0.89034668]
camels_01118300,[0.33030017]
camels_01121000,[0.81742158]
camels_01123000,[0.90921735]
camels_01134500,[0.79203449]
camels_01137500,[0.81564243]
camels_01139000,[0.78120256]
camels_01139800,[0.2202864]
camels_01142500,[0.83673506]
camels_01144000,[0.70379805]
camels_01162500,[0.83897176]
camels_01169000,[0.7539836]
camels_01170100,[0.12852033]
camels_01181000,[0.80295801]
camels_01187300,[0.73320481]
camels_01195100,[0.21709136]
camels_01333000,[0.10471915]
camels_01350000,[0.55025887]
camels_01350080,[0.72884556]
camels_01350140,[0.30260609]
camels_01365000,[0.72707891]
camels_01411300,[0.70955738]
camels_01413500,[0.78317803]
camels_01414500,[0.70684647]
camels_01415000,[0.8054422]
camels_01423000,[0.79500379]
camels_01434025,[0.73283477]
camels_01435000,[0.71960782]
camels_01439500,[0.71119478]
camels_01440000,[0.63368276]
camels_01440400,[0.75161618]
camels_01451800,[0.70914679]
camels_01466500,[-1.0188947]
camels_01484100,[0.62472123]
camels_01485500,[-1.21486972]
camels_01486000,[0.63858002]
camels_01487000,[0.74457302]
camels_01491000,[0.45623693]
camels_01510000,[0.72726629]
camels_01516500,[0.6610401]
camels_01518862,[0.72494476]
camels_01532000,[0.71543041]
camels_01539000,[0.79443784]
camels_01542810,[0.67547593]
camels_01543000,[0.80636846]
camels_01543500,[0.85481203]
camels_01544500,[0.74754196]
camels_01545600,[0.8287315]
camels_01547700,[0.77549911]
camels_01548500,[0.87255701]
camels_01549500,[0.74629824]
camels_01550000,[0.79095111]
camels_01552000,[0.86040668]
camels_01552500,[0.72356387]
camels_01557500,[0.75889595]
camels_01567500,[0.69481904]
camels_01568000,[0.62429156]
camels_01580000,[0.78014264]
camels_01583500,[0.50692918]
camels_01586610,[0.59574657]
camels_01591400,[0.4393732]
camels_01594950,[0.76523651]
camels_01596500,[0.64024724]
camels_01605500,[0.54121417]
camels_01606500,[0.66651853]
camels_01613050,[0.66216643]
camels_01620500,[0.30259365]
camels_01632000,[0.58751296]
camels_01632900,[0.55994798]
camels_01634500,[0.58054086]
camels_01638480,[0.53412092]
camels_01639500,[0.51158394]
camels_01644000,[0.71339993]
camels_01658500,[0.54302419]
camels_01664000,[0.49011233]
camels_01666500,[0.70287753]
camels_01667500,[0.6641325]
camels_01669000,[0.61156276]
camels_01669520,[0.37173079]
camels_02011400,[0.54122891]
camels_02011460,[0.30154803]
camels_02013000,[0.29667058]
camels_02014000,[0.81391918]
camels_02015700,[0.61736311]
camels_02016000,[0.73478991]
camels_02017500,[0.6684283]
camels_02018000,[0.667161]
camels_02027000,[0.73564099]
camels_02027500,[0.54178288]
camels_02028500,[0.54869607]
camels_02038850,[0.65899154]
camels_02046000,[0.5874284]
camels_02051000,[0.63963667]
camels_02051500,[0.71332071]
camels_02053200,[0.11505132]
camels_02053800,[0.44807841]
camels_02055100,[0.59847251]
camels_02056900,[0.73107066]
camels_02059500,[0.65239277]
camels_02064000,[0.73868231]
camels_02065500,[0.82973548]
camels_02069700,[0.72264203]
camels_02070000,[0.73210899]
camels_02074500,[0.71952307]
camels_02077200,[0.45339843]
camels_02081500,[0.61708106]
camels_02082950,[0.50281391]
camels_02092500,[0.24291404]
camels_02096846,[0.41235658]
camels_02102908,[0.13721572]
camels_02108000,[-0.23172343]
camels_02111180,[0.66933207]
camels_02111500,[0.80223604]
camels_02112120,[0.75474881]
camels_02112360,[0.78728373]
camels_02118500,[0.67946288]
camels_02125000,[0.45254938]
camels_02128000,[0.5506294]
camels_02137727,[0.74643624]
camels_02140991,[0.56957499]
camels_02143000,[0.64359737]
camels_02143040,[0.48006753]
camels_02149000,[0.75442039]
camels_02152100,[0.67588417]
camels_02177000,[0.69365773]
camels_02178400,[0.82151927]
camels_02193340,[0.44031593]
camels_02196000,[-0.00330724]
camels_02198100,[0.5036979]
camels_02202600,[0.17758661]
camels_02212600,[0.24623946]
camels_02215100,[0.518172]
camels_02216180,[0.42617897]
camels_02221525,[0.73870837]
camels_02231000,[-0.21886962]
camels_02231342,[0.59155288]
camels_02235200,[-0.16510752]
camels_02245500,[0.13539569]
camels_02246000,[0.19689801]
camels_02296500,[0.38984214]
camels_02297155,[0.11937857]
camels_02297310,[0.5579036]
camels_02298123,[0.49735523]
camels_02298608,[0.37764325]
camels_02299950,[0.3258915]
camels_02300700,[0.13106072]
camels_02310947,[-0.25494633]
camels_02312200,[0.3743349]
camels_02314500,[0.04404297]
camels_02315500,[0.57162841]
camels_02324400,[0.27198201]
camels_02327100,[-0.12244818]
camels_02342933,[0.48154496]
camels_02349900,[0.54720776]
camels_02350900,[0.55840399]
camels_02361000,[0.50958067]
camels_02363000,[0.43814894]
camels_02369800,[0.47978349]
camels_02371500,[0.51655208]
camels_02372250,[0.323826]
camels_02374500,[0.75137723]
camels_02381600,[0.3259754]
camels_02384540,[0.47535271]
camels_02395120,[0.49306721]
camels_02408540,[0.46966648]
camels_02415000,[0.29488034]
camels_02422500,[0.61476834]
camels_02427250,[0.48004418]
camels_02430085,[0.74181873]
camels_02430615,[0.75412854]
camels_02450250,[0.51239688]
camels_02464000,[0.55400211]
camels_02464146,[0.56023046]
camels_02464360,[0.75745327]
camels_02465493,[0.62028979]
camels_02469800,[0.36479991]
camels_02472000,[0.10483017]
camels_02472500,[0.48347886]
camels_02479155,[0.39229395]
camels_02479300,[0.56562542]
camels_02479560,[0.23170198]
camels_02481000,[0.47552924]
camels_02481510,[0.53635879]
camels_03010655,[0.77570877]
camels_03011800,[0.81237511]
camels_03015500,[0.72625917]
camels_03021350,[0.66846935]
camels_03026500,[0.70661684]
camels_03028000,[0.73016715]
camels_03049000,[0.27743912]
camels_03049800,[0.17293832]
camels_03050000,[0.57999672]
camels_03066000,[0.53589148]
camels_03069500,[0.63501184]
camels_03070500,[0.63406569]
camels_03076600,[0.73932764]
camels_03078000,[0.77513137]
camels_03140000,[0.61783342]
camels_03144000,[0.64769256]
camels_03159540,[0.60553536]
camels_03161000,[0.72642636]
camels_03164000,[0.64497166]
camels_03165000,[0.62943668]
camels_03170000,[0.61367912]
camels_03173000,[0.6816037]
