gauge_id,KGE
camels_01013500,[0.48861084]
camels_01022500,[0.56900824]
camels_01030500,[0.16445486]
camels_01031500,[0.75702175]
camels_01047000,[0.87810392]
camels_01052500,[0.63972722]
camels_01054200,[0.64546561]
camels_01055000,[0.84812272]
camels_01057000,[0.87694546]
camels_01073000,[0.44082778]
camels_01078000,[0.768712]
camels_01118300,[0.54828161]
camels_01121000,[0.73034362]
camels_01123000,[0.86065357]
camels_01134500,[0.74178594]
camels_01137500,[0.82403525]
camels_01139000,[0.90475791]
camels_01139800,[0.75059431]
camels_01142500,[0.76330682]
camels_01144000,[0.76082318]
camels_01162500,[0.73681583]
camels_01169000,[0.78551424]
camels_01170100,[0.79000239]
camels_01181000,[0.79174637]
camels_01187300,[0.68483118]
camels_01195100,[0.65067484]
camels_01333000,[0.37906767]
camels_01350000,[0.6905429]
camels_01350080,[0.74778669]
camels_01350140,[0.74883828]
camels_01365000,[0.71561582]
camels_01411300,[0.69511163]
camels_01413500,[0.86370472]
camels_01414500,[0.75144228]
camels_01415000,[0.84703432]
camels_01423000,[0.83382778]
camels_01434025,[0.68804457]
camels_01435000,[0.71487347]
camels_01439500,[0.67581942]
camels_01440000,[0.65001385]
camels_01440400,[0.74210208]
camels_01451800,[0.61986311]
camels_01466500,[-0.67386248]
camels_01484100,[0.58525187]
camels_01485500,[0.432231]
camels_01486000,[0.65223181]
camels_01487000,[0.72680074]
camels_01491000,[0.40564361]
camels_01510000,[0.65233123]
camels_01516500,[0.6730612]
camels_01518862,[0.73350099]
camels_01532000,[0.70369762]
camels_01539000,[0.69160377]
camels_01542810,[0.66964711]
camels_01543000,[0.80531436]
camels_01543500,[0.84541261]
camels_01544500,[0.70489574]
camels_01545600,[0.74764564]
camels_01547700,[0.77471155]
camels_01548500,[0.87235365]
camels_01549500,[0.73315307]
camels_01550000,[0.72932659]
camels_01552000,[0.82955499]
camels_01552500,[0.70984864]
camels_01557500,[0.66747259]
camels_01567500,[0.69591284]
camels_01568000,[0.60430557]
camels_01580000,[0.7933382]
camels_01583500,[0.58783899]
camels_01586610,[0.62775453]
camels_01591400,[0.52072229]
camels_01594950,[0.75103871]
camels_01596500,[0.64081253]
camels_01605500,[0.61501601]
camels_01606500,[0.74843879]
camels_01613050,[0.63732151]
camels_01620500,[0.28729682]
camels_01632000,[0.57472858]
camels_01632900,[0.77243711]
camels_01634500,[0.58499779]
camels_01638480,[0.57900136]
camels_01639500,[0.52195414]
camels_01644000,[0.70512633]
camels_01658500,[0.56568065]
camels_01664000,[0.53759244]
camels_01666500,[0.72592181]
camels_01667500,[0.7087312]
camels_01669000,[0.48808215]
camels_01669520,[0.42160817]
camels_02011400,[0.41286617]
camels_02011460,[0.34587341]
camels_02013000,[0.37526922]
camels_02014000,[0.77230092]
camels_02015700,[0.6310637]
camels_02016000,[0.73307524]
camels_02017500,[0.65456242]
camels_02018000,[0.72327354]
camels_02027000,[0.69150048]
camels_02027500,[0.49940883]
camels_02028500,[0.56417268]
camels_02038850,[0.67303158]
camels_02046000,[0.58579022]
camels_02051000,[0.59923608]
camels_02051500,[0.7288167]
camels_02053200,[-0.07125423]
camels_02053800,[0.48593288]
camels_02055100,[0.62263001]
camels_02056900,[0.71249809]
camels_02059500,[0.6785545]
camels_02064000,[0.75835713]
camels_02065500,[0.82824892]
camels_02069700,[0.67723917]
camels_02070000,[0.78114945]
camels_02074500,[0.73193031]
camels_02077200,[0.46936945]
camels_02081500,[0.6621292]
camels_02082950,[0.58363788]
camels_02092500,[0.2426195]
camels_02096846,[0.45853408]
camels_02102908,[0.33182778]
camels_02108000,[-0.32675497]
camels_02111180,[0.65209148]
camels_02111500,[0.81308039]
camels_02112120,[0.74895506]
camels_02112360,[0.78292436]
camels_02118500,[0.64416698]
camels_02125000,[0.43892677]
camels_02128000,[0.550792]
camels_02137727,[0.71095879]
camels_02140991,[0.58515771]
camels_02143000,[0.64153052]
camels_02143040,[0.48040282]
camels_02149000,[0.73495079]
camels_02152100,[0.70471154]
camels_02177000,[0.77883867]
camels_02178400,[0.8153935]
camels_02193340,[0.51114007]
camels_02196000,[0.16945363]
camels_02198100,[0.35549845]
camels_02202600,[0.23237356]
camels_02212600,[0.23516859]
camels_02215100,[0.58248208]
camels_02216180,[0.50956596]
camels_02221525,[0.75580712]
camels_02231000,[-0.11167216]
camels_02231342,[0.64875925]
camels_02235200,[0.01861441]
camels_02245500,[0.28089834]
camels_02246000,[0.15835793]
camels_02296500,[0.53545618]
camels_02297155,[0.14396439]
camels_02297310,[0.5306479]
camels_02298123,[0.60808311]
camels_02298608,[0.53726898]
camels_02299950,[0.51127591]
camels_02300700,[0.11874048]
camels_02310947,[-0.17545826]
camels_02312200,[0.47239385]
camels_02314500,[0.28970985]
camels_02315500,[0.56356497]
camels_02324400,[0.4794039]
camels_02327100,[0.09684804]
camels_02342933,[0.46039811]
camels_02349900,[0.50136823]
camels_02350900,[0.70725569]
camels_02361000,[0.46336288]
camels_02363000,[0.4334596]
camels_02369800,[0.36237423]
camels_02371500,[0.52769056]
camels_02372250,[0.39494705]
camels_02374500,[0.75364241]
camels_02381600,[0.4558133]
camels_02384540,[0.45485329]
camels_02395120,[0.46123686]
camels_02408540,[0.59210869]
camels_02415000,[0.34559951]
camels_02422500,[0.48890486]
camels_02427250,[0.49976549]
camels_02430085,[0.73935798]
camels_02430615,[0.75857497]
camels_02450250,[0.51220252]
camels_02464000,[0.56758264]
camels_02464146,[0.69078651]
camels_02464360,[0.73231267]
camels_02465493,[0.64787231]
camels_02469800,[-0.05457625]
camels_02472000,[0.46586091]
camels_02472500,[0.43822329]
camels_02479155,[0.4237723]
camels_02479300,[0.61191442]
camels_02479560,[0.33975023]
camels_02481000,[0.43257513]
camels_02481510,[0.48001155]
camels_03010655,[0.78059945]
camels_03011800,[0.82844738]
camels_03015500,[0.70702607]
camels_03021350,[0.65185717]
camels_03026500,[0.70698738]
camels_03028000,[0.74823949]
camels_03049000,[0.38919741]
camels_03049800,[-0.3105799]
camels_03050000,[0.53954898]
camels_03066000,[0.49939511]
camels_03069500,[0.65161962]
camels_03070500,[0.54449725]
camels_03076600,[0.74402436]
camels_03078000,[0.74509786]
camels_03140000,[0.61443797]
camels_03144000,[0.64306613]
camels_03159540,[0.56049385]
camels_03161000,[0.75852932]
camels_03164000,[0.52164833]
camels_03165000,[0.6166743]
camels_03170000,[0.6454959]
camels_03173000,[0.6932407]
camels_03180500,[0.70067206]
camels_03182500,[0.42289285]
camels_03186500,[0.70240079]
camels_03187500,[0.62911238]
camels_03213700,[0.65710267]
camels_03237280,[0.55029878]
camels_03237500,[0.53583365]
camels_03238500,[0.61346785]
camels_03241500,[0.67339722]
camels_03280700,[0.58645484]
camels_03281100,[0.64882117]
camels_03281500,[0.65996804]
camels_03285000,[0.52107085]
camels_03291780,[0.58517315]
camels_03300400,[0.52892166]
camels_03338780,[0.37567099]
camels_03340800,[0.58325967]
camels_03346000,[-0.14142536]
camels_03357350,[0.56064254]
camels_03364500,[0.70947483]
camels_03366500,[0.60893435]
camels_03368000,[0.62883669]
camels_03384450,[0.4361086]
camels_03439000,[0.6066081]
camels_03450000,[0.53491548]
camels_03455500,[0.47117744]
camels_03456500,[0.57358491]
camels_03460000,[0.49996309]
camels_03463300,[0.38184853]
camels_03471500,[0.65052424]
camels_03473000,[0.74968907]
camels_03479000,[0.33059308]
camels_03488000,[0.72582425]
camels_03498500,[0.4990292]
camels_03500000,[0.76121802]
camels_03500240,[0.61222255]
camels_03504000,[0.61154922]
camels_03574500,[0.60463094]
camels_03592718,[0.64854314]
camels_03604000,[0.42407141]
camels_04015330,[0.21167736]
camels_04024430,[0.5546013]
camels_04027000,[0.30110677]
camels_04040500,[0.51978885]
camels_04043050,[0.18018289]
camels_04045500,[-3.11774252]
camels_04056500,[0.7359652]
camels_04057510,[0.76338601]
camels_04057800,[0.55030234]
camels_04059500,[0.46471976]
camels_04063700,[0.7495103]
camels_04074950,[0.66719187]
camels_04105700,[-0.38879014]
camels_04115265,[0.5580659]
camels_04122200,[0.70519063]
camels_04122500,[0.72741926]
camels_04124000,[0.54896892]
camels_04127918,[0.58521859]
camels_04127997,[0.02420091]
camels_04161580,[-0.38290337]
camels_04185000,[0.45863938]
camels_04196800,[0.56495097]
camels_04197100,[0.70145711]
camels_04197170,[0.52360305]
camels_04213000,[0.58129692]
camels_04213075,[0.43754313]
camels_04216418,[0.76627006]
camels_04221000,[0.8494009]
camels_04224775,[0.75485827]
camels_04233000,[0.71259351]
camels_04256000,[0.85843875]
camels_04296000,[0.71759522]
camels_05056000,[0.65156383]
camels_05057000,[0.63466752]
camels_05057200,[-0.12469142]
camels_05062500,[0.31145805]
camels_05087500,[-1.58872879]
camels_05120500,[0.11879089]
camels_05123400,[-0.78459213]
camels_05129115,[0.21332209]
camels_05131500,[-1.16014144]
camels_05291000,[0.58808098]
camels_05362000,[0.52057731]
camels_05393500,[0.60243427]
camels_05399500,[-0.35466331]
camels_05408000,[0.54916845]
camels_05412500,[0.62385923]
camels_05413500,[0.55682842]
camels_05414000,[0.57896824]
camels_05444000,[0.6011885]
camels_05454000,[0.42754932]
camels_05458000,[0.4152997]
camels_05466500,[0.59477121]
camels_05487980,[0.63489023]
camels_05488200,[0.51891256]
camels_05489000,[0.52159661]
camels_05495000,[0.32081308]
camels_05495500,[0.48390542]
camels_05501000,[0.04320098]
camels_05503800,[0.14870106]
camels_05507600,[-0.09723218]
camels_05508805,[0.34754624]
camels_05514500,[0.41743075]
camels_05525500,[0.58175043]
camels_05556500,[0.5600761]
camels_05584500,[0.59689535]
camels_05585000,[0.56999021]
camels_05591550,[0.56885058]
camels_05592050,[0.52169411]
camels_05592575,[0.33723357]
camels_05593575,[0.27725341]
camels_05593900,[0.39990881]
camels_05595730,[0.53254123]
camels_06037500,[-1.83728009]
camels_06043500,[0.54387643]
camels_06154410,[-0.14404591]
camels_06188000,[0.73009047]
camels_06191500,[0.5693054]
camels_06221400,[0.46961162]
camels_06224000,[0.50669963]
camels_06278300,[0.55757302]
camels_06280300,[0.88378218]
camels_06289000,[-0.08646484]
camels_06291500,[0.47422933]
camels_06311000,[0.56327492]
camels_06332515,[0.25240348]
camels_06339100,[0.26859184]
camels_06339500,[0.55972591]
camels_06344600,[-1.48430941]
camels_06350000,[0.17714289]
camels_06352000,[0.47025451]
camels_06353000,[0.60679928]
camels_06354000,[0.63094372]
camels_06360500,[0.25449724]
camels_06404000,[-0.80554996]
camels_06406000,[-0.26907686]
camels_06408700,[-1.01671837]
camels_06409000,[-2.24613946]
camels_06431500,[-0.52112493]
camels_06440200,[-1.12886777]
camels_06441500,[-4.11752816]
camels_06447000,[0.5012958]
camels_06447500,[0.37033355]
camels_06450500,[0.34436084]
camels_06452000,[0.29922396]
camels_06453600,[-2.46478752]
camels_06464500,[-0.51383551]
camels_06468170,[0.68178832]
camels_06468250,[0.36563215]
camels_06470800,[0.25290082]
camels_06477500,[0.09953956]
camels_06479215,[0.54399867]
camels_06479438,[0.56303125]
camels_06601000,[0.13292783]
camels_06614800,[0.61426487]
camels_06622700,[0.57842674]
camels_06623800,[0.55443801]
camels_06632400,[0.11213907]
camels_06746095,[0.11304912]
camels_06784000,[0.35170016]
camels_06803510,[0.44205964]
camels_06803530,[0.53210763]
camels_06814000,[0.66715966]
camels_06847900,[-5.69201117]
camels_06853800,[0.33679124]
camels_06876700,[0.3565656]
camels_06878000,[0.56079414]
camels_06879650,[0.34521205]
camels_06885500,[0.64874556]
camels_06888500,[0.6419843]
camels_06889200,[0.68891506]
camels_06889500,[0.74002238]
camels_06892000,[0.54199955]
camels_06903400,[0.52622609]
camels_06906800,[0.3472108]
camels_06910800,[0.61201563]
camels_06911900,[0.6041342]
camels_06917000,[0.49865369]
camels_06918460,[0.70909773]
camels_06919500,[0.45238712]
camels_06921070,[0.65998249]
camels_06921200,[0.60641081]
